LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER
43083813	43083813	101	1	23519962	174	113	103	0	2013-07-16 00:00:00	145	0	0	0	251522	43083813	16547588	197168	23519962	32	PAY	\N	\N	541	23156
44081513	44081513	101	1	25064724	174	113	103	0	2014-01-24 00:00:00	440	0	0	0	251522	44081513	18091151	197168	25064724	33	PAY	\N	\N	531	240236029999
53491025	53491025	101	1	25160450	174	113	103	0	2013-12-30 00:00:00	340	0	0	0	251522	53491025	18186808	197168	25160450	32	PAY	\N	\N	541	21769
59431866	59431866	101	1	27104106	174	113	103	0	2014-07-24 00:00:00	20	0	0	0	251522	59431866	20129070	197168	27104106	32	PAY	\N	\N	519	9947222
50962692	50962692	101	1	28667150	174	113	103	0	2015-02-23 00:00:00	580	0	0	0	251522	50962692	21691018	197168	28667150	32	PAY	\N	\N	528	611138
45779139	45779139	101	1	28970899	174	113	103	0	2015-03-16 00:00:00	495	0	0	0	251522	45779139	21994622	197168	28970899	32	PAY	\N	\N	521	11707926607
49535817	49535817	101	1	32538207	174	113	103	0	2016-03-08 00:00:00	510	0	0	0	251522	49535817	25559732	197168	32538207	32	PAY	\N	\N	521	14319046551
66713075	66713075	101	1	65444724	174	113	103	0	2016-12-14 10:15:23	10	0	0	0	251522	66713075	28602880	197168	65444724	32	PAY	\N	\N	540	1228396
68364343	68364343	101	1	66128022	174	113	103	0	2017-03-06 12:05:30	225	0	0	0	251522	68364343	28946703	197168	66128022	32	PAY	\N	\N	540	1990936
68894355	68894355	101	1	67993065	174	113	103	0	2017-03-29 08:55:18	466	0	0	0	251522	68894355	29900002	197168	67993065	32	PAY	\N	\N	540	2253575
71112314	71112314	101	1	69972395	174	113	103	0	2017-07-11 09:21:02	76	0	0	0	251522	71112314	30933339	197168	69972395	32	PAY	\N	\N	528	3180025
71891283	71891283	101	1	71283487	174	113	103	0	2017-08-14 17:21:15	19	0	0	0	251522	71891283	31624925	197168	71283487	32	PAY	\N	\N	528	3504600
71138208	71138208	101	1	70642390	174	113	103	0	2017-07-11 17:21:49	17	0	0	0	251522	71138208	31282503	197168	70642390	32	PAY	\N	\N	528	3189069
71891284	71891284	101	1	71728612	174	113	103	0	2017-08-14 17:21:16	10	0	0	0	251522	71891284	31841790	197168	71728612	32	PAY	\N	\N	528	3504601
72449843	72449843	101	1	72340926	174	113	103	0	2017-09-15 10:57:37	16	0	0	0	251522	72449843	32150824	197168	72340926	32	PAY	\N	\N	528	3753131
73010401	73010401	101	1	72982761	174	113	103	0	2017-10-09 13:18:10	12	0	0	0	251522	73010401	32492231	197168	72982761	32	PAY	\N	\N	528	4005335
74383321	74383321	101	1	73678924	174	113	103	0	2017-12-07 16:09:57	68	0	0	0	251522	74383321	32842274	197168	73678924	32	PAY	\N	\N	528	4625800
74914998	74914998	101	1	74376057	174	113	103	0	2018-01-02 09:08:13	321	0	0	0	251522	74914998	33192648	197168	74376057	32	PAY	\N	\N	528	4906572
76112940	76112940	101	1	75074556	174	113	103	0	2018-02-19 10:50:50	251	0	0	0	251522	76112940	33549530	197168	75074556	32	PAY	\N	\N	528	5378305
77174142	77174142	101	1	76442207	174	113	103	0	2018-04-09 16:49:28	324	0	0	0	251522	77174142	34256108	197168	76442207	32	PAY	\N	\N	528	5881103
76580552	76580552	101	1	75762577	174	113	103	0	2018-03-12 15:48:02	387	0	0	0	251522	76580552	33903886	197168	75762577	32	PAY	\N	\N	528	5598946
77846086	77846086	101	1	77128033	174	113	103	0	2018-05-09 11:21:36	300	0	0	0	251522	77846086	34606842	197168	77128033	32	PAY	\N	\N	528	6185727
86085879	86085879	101	1	85180210	174	113	103	0	2019-04-29 08:16:21	367	0	0	0	251522	86085879	38832990	197168	85180210	32	PAY	\N	\N	528	9870283
78572795	78572795	101	1	77819638	174	113	103	0	2018-06-08 19:36:17	62	0	0	0	251522	78572795	34961443	197168	77819638	32	PAY	\N	\N	528	6505943
89601577	89601577	101	1	88830962	174	113	103	0	2019-09-24 14:05:31	21	0	0	0	251522	89601577	40724823	197168	88830962	32	PAY	\N	\N	540	11420323
86962963	86962963	101	1	85903313	174	113	103	0	2019-06-10 10:49:13	339	0	0	0	251522	86962963	39212501	197168	85903313	32	PAY	\N	\N	528	10286042
79233418	79233418	101	1	78529430	174	113	103	0	2018-07-09 10:55:16	1	0	0	0	251522	79233418	35333953	197168	78529430	32	PAY	\N	\N	528	6795848
91123211	91123211	101	1	90222938	174	113	103	0	2019-11-29 17:05:25	23	0	0	0	251522	91123211	41444506	197168	90222938	32	PAY	\N	\N	540	12150080
90437696	90437696	101	1	89525789	174	113	103	0	2019-11-01 09:20:38	24	0	0	0	251522	90437696	41098192	197168	89525789	32	PAY	\N	\N	540	11837467
83706920	83706920	101	1	81573650	174	113	103	0	2019-01-21 09:11:42	19	0	0	0	251522	83706920	36924659	197168	81573650	32	PAY	\N	\N	521	8773320
79233634	79233634	101	1	79214745	174	113	103	0	2018-07-09 10:58:00	18	0	0	0	251522	79233634	35689053	197168	79214745	32	PAY	\N	\N	528	6795896
87729503	87729503	101	1	86634880	174	113	103	0	2019-07-08 12:14:58	94	0	0	0	251522	87729503	39585099	197168	86634880	32	PAY	\N	\N	528	10593001
91825037	91825037	101	1	90953225	174	113	103	0	2019-12-30 09:25:32	82	0	0	0	251522	91825037	41801951	197168	90953225	32	PAY	\N	\N	540	12480545
83222183	83222183	101	1	82302492	174	113	103	0	2018-12-31 16:10:16	267	0	0	0	251522	83222183	37310759	197168	82302492	32	PAY	\N	\N	528	8581375
80452127	80452127	101	1	80175949	174	113	103	0	2018-09-05 11:25:21	28	0	0	0	251522	80452127	36197639	197168	80175949	32	PAY	\N	\N	540	7329700
83916921	83916921	101	1	83011563	174	113	103	0	2019-01-29 09:35:24	444	0	0	0	251522	83916921	37684273	197168	83011563	32	PAY	\N	\N	540	8886287
88253765	88253765	101	1	87397614	174	113	103	0	2019-07-29 09:45:38	31	0	0	0	251522	88253765	39976954	197168	87397614	32	PAY	\N	\N	540	10835448
