AGR_ID|open_rows|open_amt
284727|456|41486.64
179047|30|41430.00
100177|198|41106.24
143880|234|41083.02
92721|6|41043.00
6620|264|40998.00
115729|198|40975.92
456665|24|40908.00
110961|144|40831.20
97979|36|40674.00
321335|528|40661.52
242507|192|40656.24
196555|42|40620.36
350846|9|40569.00
202348|24|40476.00
248480|24|40434.00
134130|27|40392.00
305250|12|40392.00
196462|144|40358.52
52251|12|40275.00
196216|216|40032.54
70937|150|39982.05
132941|12|39960.00
107309|18|39942.00
128366|132|39876.48
129401|216|39804.66
86964|162|39679.92
131275|72|39667.32
511274|36|39660.00
349751|24|39612.00
238532|108|39579.84
512435|24|39564.00
117294|216|39543.30
93228|18|39480.00
285909|18|39396.00
342005|216|39328.56
102213|420|39270.00
112213|18|39240.00
184632|273|39199.23
87219|18|39120.00
103533|231|39059.16
437246|10|38932.00
239043|552|38872.32
104629|273|38832.99
160122|18|38824.83
72400|660|38673.90
229476|216|38510.10
82003|36|38421.00
114649|18|38358.00
115944|6|38340.00
650829|28|38301.36
408610|24|38238.00
58300|136|38222.29
97954|552|38178.72
262741|108|38159.10
134477|12|38136.00
153723|12|38076.00
185300|24|37938.00
478355|12|37830.00
185407|18|37827.78
216315|9|37815.00
122587|18|37800.00
475933|12|37752.00
4182|168|37740.00
99938|216|37693.80
99977|27|37458.00
60309|12|37344.00
408469|192|37206.48
428008|12|37122.00
163056|18|37116.00
118929|132|37090.44
227772|18|37080.00
168314|27|37044.00
77165|252|37034.55
143731|9|36963.00
249164|528|36824.88
91770|162|36745.02
245905|132|36723.36
395241|528|36519.84
184443|231|36486.66
100673|231|36372.63
95250|48|36341.28
260345|207|36246.87
96671|540|36234.00
112792|18|36234.00
85961|12|36192.00
186392|24|36108.00
490206|207|36102.24
385689|180|36049.50
164873|12|36018.00
261885|24|35772.00
95471|273|35766.15
557335|156|35622.66
96898|9|35622.00
142259|18|35616.00
408126|12|35610.00
355640|36|35568.00
254106|9|35514.00
153955|12|35514.00
188205|180|35500.50
414691|144|35493.60
198958|24|35490.00
496282|18|35412.00
230274|12|35349.00
126414|6|35220.00
134945|6|35208.00
368052|36|35196.00
267628|156|35190.24
437553|18|35160.00
123611|12|35082.00
407063|24|34992.00
143641|12|34944.00
83712|18|34896.00
603644|30|34696.80
107271|152|34625.41
94266|234|34579.62
133640|18|34518.00
122608|324|34472.52
264617|18|34434.00
351598|9|34416.00
82548|30|34320.00
129798|24|34320.00
262143|54|34311.06
378078|108|34251.60
250013|252|34248.06
88779|216|34193.34
191451|6|34062.00
274564|360|34021.20
53541|144|34008.12
122795|30|33990.00
88202|198|33957.36
453418|18|33936.00
132605|12|33822.00
483573|27|33750.00
159614|18|33720.00
75722|216|33719.94
80209|24|33710.04
90969|252|33638.01
357328|480|33631.68
358478|132|33630.36
81383|108|33545.40
645928|14|33537.26
142958|216|33483.60
113232|6|33450.00
153953|12|33444.00
181899|12|33402.00
263089|231|33294.24
110806|12|33282.00
187104|156|33227.76
107483|18|33219.00
161831|12|33216.00
68983|198|33209.82
328969|132|33194.88
219087|4|33112.00
236668|198|33042.42
113777|6|32940.00
126283|24|32928.00
98649|24|32922.00
135363|6|32910.00
249485|504|32815.44
192277|18|32736.00
123126|162|32687.04
149416|27|32643.00
310103|27|32598.00
190233|24|32568.00
154487|9|32517.00
148532|210|32482.80
201664|6|32376.00
87268|18|32334.00
192690|216|32305.86
412246|14|32299.54
316403|126|32283.60
116590|27|32283.00
448704|9|32250.00
400879|30|32250.00
62074|24|32238.00
149078|168|32229.12
251602|252|32215.89
273534|528|32127.60
502148|15|32124.00
175641|324|32071.68
125018|18|31974.00
426225|408|31932.96
76396|336|31850.16
61394|162|31802.94
246428|198|31712.40
353786|144|31695.48
127343|6|31620.00
9006|156|31613.52
108334|12|31500.00
68918|30|31392.00
727589|6|31374.00
163290|42|31365.66
152798|144|31286.40
31710|30|31260.00
163100|12|31212.00
439238|18|31194.00
207235|198|31082.40
15890|156|31070.04
163889|18|31068.00
133801|6|31014.00
102157|45|30978.00
32550|18|30960.00
125141|9|30834.00
422891|288|30825.36
160131|24|30744.00
158546|234|30705.48
345824|24|30690.00
212927|112|30669.92
422485|24|30645.22
157971|6|30624.00
195319|9|30618.00
305828|10|30614.10
125703|12|30594.00
86961|234|30590.28
159690|9|30435.00
174386|24|30408.00
72413|198|30349.98
64395|12|30324.00
182584|24|30312.00
90780|30|30276.00
194923|198|30256.92
267218|192|30253.60
64119|6|30198.00
440810|18|30162.00
129297|12|30132.00
566332|24|30052.80
447962|144|30027.96
178346|12|30024.00
263839|120|30015.96
19262|156|29973.96
78217|180|29871.36
155534|12|29868.00
319718|216|29843.91
183756|156|29843.28
412387|3|29790.00
150956|231|29771.70
387173|198|29748.60
105439|27|29745.00
119914|12|29736.00
95392|210|29684.55
129042|195|29619.30
94708|252|29602.23
319522|612|29575.80
110331|210|29517.81
152989|18|29502.00
121155|144|29491.38
97715|252|29491.14
100052|234|29488.68
160895|18|29472.00
97187|234|29423.88
376900|72|29420.82
135302|9|29400.00
197414|24|29358.00
212137|12|29280.00
62365|81|29148.78
128526|6|29016.00
137500|24|29010.00
171104|24|28998.00
57851|18|28944.00
405832|18|28921.20
91645|216|28880.46
80758|144|28829.04
348650|108|28818.36
190489|12|28806.00
362093|24|28776.00
570923|4|28770.08
174498|198|28747.08
594902|9|28737.00
476098|147|28666.68
96156|24|28656.00
498427|294|28644.42
124272|18|28638.00
177251|216|28543.86
156107|198|28531.26
84157|210|28503.51
8429|120|28472.52
422134|96|28392.48
495528|12|28368.00
156665|3|28362.00
234002|132|28333.08
114931|18|28302.00
402320|144|28295.40
34402|12|28158.00
157065|24|28134.00
387009|156|28116.60
192477|12|28116.00
122235|3|28080.00
118279|180|28041.20
77448|12|28032.00
234904|120|28024.56
103367|30|27870.00
131309|15|27852.00
92521|108|27777.78
35444|24|27744.00
197676|24|27738.00
139223|189|27729.03
67340|36|27714.00
251068|144|27709.08
469389|132|27696.60
182463|6|27684.00
118930|132|27582.96
83662|12|27558.00
66517|6|27558.00
329156|6|27534.00
87239|156|27527.88
117031|180|27507.60
178964|6|27471.00
86592|12|27438.00
48959|9|27432.00
114367|24|27390.00
165455|54|27390.00
167642|12|27372.00
125826|6|27360.00
324292|108|27317.40
196172|24|27306.00
35061|18|27270.00
259603|144|27251.88
74664|165|27242.85
199843|168|27191.04
206456|216|27187.92
136273|12|27186.00
32278|216|27184.68
126070|216|27173.52
283600|18|27150.00
156216|84|27119.76
127000|9|27119.07
111164|18|27099.00
181288|198|27067.50
453837|18|27048.00
134463|162|27025.20
497728|112|27010.20
287970|120|27006.24
203200|18|27000.00
