LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	FITNO	BN_TYPE	AMOUNT	PERIOD	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	OV_KIND
68364343	1	TAHSILAT	2017-03-06 12:05:30	2017-03-06 12:05:30	101	251522	225	160	225	\N	0	197168	91	0	0	225	0	225	1	136283	1	225	201611	2017-03-06 12:05:30	10001	68364343	28946703	32	197168	66128022	TAH_INV
68894355	1	TAHSILAT	2017-03-29 08:55:18	2017-03-29 08:55:18	101	251522	466	160	466	\N	0	197168	91	0	0	466	0	466	1	136283	1	466	201702	2017-03-29 08:55:18	10800	68894355	29900002	32	197168	67993065	TAH_INV
71112314	1	TAHSILAT	2017-07-11 09:21:02	2017-07-11 09:21:02	101	251522	76	160	76	\N	0	197168	91	0	0	76	0	76	1	136283	1	76	201705	2017-07-11 09:21:02	10800	71112314	30933339	32	197168	69972395	TAH_INV
71891283	1	TAHSILAT	2017-08-14 17:21:15	2017-08-14 17:21:15	101	251522	19	160	19	\N	0	197168	91	0	0	19	0	19	1	136283	1	19	201707	2017-08-14 17:21:15	10800	71891283	31624925	32	197168	71283487	TAH_INV
71138208	1	TAHSILAT	2017-07-11 17:21:49	2017-07-11 17:21:49	101	251522	17	160	17	\N	0	197168	91	0	0	17	0	17	1	136283	1	17	201706	2017-07-11 17:21:49	10800	71138208	31282503	32	197168	70642390	TAH_INV
71891284	1	TAHSILAT	2017-08-14 17:21:16	2017-08-14 17:21:16	101	251522	10	160	10	\N	0	197168	91	0	0	10	0	10	1	136283	1	10	201708	2017-08-14 17:21:16	10001	71891284	31841790	32	197168	71728612	TAH_INV
72449843	1	TAHSILAT	2017-09-15 10:57:37	2017-09-15 10:57:37	101	251522	16	160	16	\N	0	197168	91	0	0	16	0	16	1	136283	1	16	201709	2017-09-15 10:57:37	11189	72449843	32150824	32	197168	72340926	TAH_INV
73010401	1	TAHSILAT	2017-10-09 13:18:10	2017-10-09 13:18:10	101	251522	12	160	12	\N	0	197168	91	0	0	12	0	12	1	136283	1	12	201710	2017-10-09 13:18:10	11189	73010401	32492231	32	197168	72982761	TAH_INV
74383321	1	TAHSILAT	2017-12-07 16:09:57	2017-12-07 16:09:57	101	251522	68	160	68	\N	0	197168	91	0	0	68	0	68	1	136283	1	68	201711	2017-12-07 16:09:57	11189	74383321	32842274	32	197168	73678924	TAH_INV
74914998	1	TAHSILAT	2018-01-02 09:08:13	2018-01-02 09:08:13	101	251522	321	160	321	\N	0	197168	91	0	0	321	0	321	1	136283	1	321	201712	2018-01-02 09:08:13	11189	74914998	33192648	32	197168	74376057	TAH_INV
76112940	1	TAHSILAT	2018-02-19 10:50:50	2018-02-19 10:50:50	101	251522	251	160	251	\N	0	197168	91	0	0	251	0	251	1	136283	1	251	201801	2018-02-19 10:50:50	11189	76112940	33549530	32	197168	75074556	TAH_INV
77174142	1	TAHSILAT	2018-04-09 16:49:28	2018-04-09 16:49:28	101	251522	324	160	324	\N	0	197168	91	0	0	324	0	324	1	136283	1	324	201803	2018-04-09 16:49:28	11189	77174142	34256108	32	197168	76442207	TAH_INV
76580552	1	TAHSILAT	2018-03-12 15:48:02	2018-03-12 15:48:02	101	251522	387	160	387	\N	0	197168	91	0	0	387	0	387	1	136283	1	387	201802	2018-03-12 15:48:02	11189	76580552	33903886	32	197168	75762577	TAH_INV
77846086	1	TAHSILAT	2018-05-09 11:21:36	2018-05-09 11:21:36	101	251522	300	160	300	\N	0	197168	91	0	0	300	0	300	1	136283	1	300	201804	2018-05-09 11:21:36	11189	77846086	34606842	32	197168	77128033	TAH_INV
86085879	1	TAHSILAT	2019-04-29 08:16:21	2019-04-29 08:16:21	101	251522	367	160	367	\N	0	197168	91	0	0	367	0	367	1	136283	1	367	201903	2019-04-29 08:16:21	10713	86085879	38832990	32	197168	85180210	TAH_INV
78572795	1	TAHSILAT	2018-06-08 19:36:17	2018-06-08 19:36:17	101	251522	62	160	62	\N	0	197168	91	0	0	62	0	62	1	136283	1	62	201805	2018-06-08 19:36:17	11189	78572795	34961443	32	197168	77819638	TAH_INV
89601577	1	TAHSILAT	2019-09-24 14:05:31	2019-09-24 14:05:31	101	251522	21	160	21	\N	0	197168	91	0	0	21	0	21	1	136283	1	21	201908	2019-09-24 14:05:31	11165	89601577	40724823	32	197168	88830962	TAH_INV
86962963	1	TAHSILAT	2019-06-10 10:49:13	2019-06-10 10:49:13	101	251522	339	160	339	\N	0	197168	91	0	0	339	0	339	1	136283	1	339	201904	2019-06-10 10:49:13	10713	86962963	39212501	32	197168	85903313	TAH_INV
79233418	1	TAHSILAT	2018-07-09 10:55:16	2018-07-09 10:55:16	101	251522	1	160	1	\N	0	197168	91	0	0	1	0	1	1	136283	1	1	201806	2018-07-09 10:55:16	11189	79233418	35333953	32	197168	78529430	TAH_INV
91123211	1	TAHSILAT	2019-11-29 17:05:25	2019-11-29 17:05:25	101	251522	23	160	23	\N	0	197168	91	0	0	23	0	23	1	136283	1	23	201910	2019-11-29 17:05:25	10713	91123211	41444506	32	197168	90222938	TAH_INV
90437696	1	TAHSILAT	2019-11-01 09:20:38	2019-11-01 09:20:38	101	251522	24	160	24	\N	0	197168	91	0	0	24	0	24	1	136283	1	24	201909	2019-11-01 09:20:38	10713	90437696	41098192	32	197168	89525789	TAH_INV
83706920	1	TAHSILAT	2019-01-21 09:11:42	2019-01-21 09:11:42	101	251522	19	160	19	\N	0	197168	91	0	0	19	0	19	1	136283	1	19	201810	2019-01-21 09:11:42	10713	83706920	36924659	32	197168	81573650	TAH_INV
79233634	1	TAHSILAT	2018-07-09 10:58:00	2018-07-09 10:58:00	101	251522	18	160	18	\N	0	197168	91	0	0	18	0	18	1	136283	1	18	201807	2018-07-09 10:58:00	11189	79233634	35689053	32	197168	79214745	TAH_INV
