LOG_ID	REASON	SEVERITY	PAY_LREF	MAIN_LREF	ACCOUNT_ID	AGREEMENT_ID	ACTION_TYPE_ID	PAYABLETOTAL	PAID_AMT	DETAIL	OV_KIND
78	PAY_NO_ALLOC	WARN	54865063	\N	10919980	2221	4	7700	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
79	PAY_NO_ALLOC	WARN	55573714	\N	8813273	2221	4	4655	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
80	PAY_NO_ALLOC	WARN	55966659	\N	10357178	2221	4	6525	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
81	PAY_NO_ALLOC	WARN	56357330	\N	12261002	197168	7	30	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
82	PAY_NO_ALLOC	WARN	58944443	\N	11881154	197168	5	15	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
83	PAY_NO_ALLOC	WARN	59287138	\N	10183479	2221	4	2300	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
84	PAY_NO_ALLOC	WARN	59538353	\N	12732482	276503	4	90	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
85	PAY_NO_ALLOC	WARN	60940045	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=11881154	TAH_LOG
86	PAY_NO_ALLOC	WARN	60940046	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095064	TAH_LOG
87	PAY_NO_ALLOC	WARN	60940047	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095070	TAH_LOG
88	PAY_NO_ALLOC	WARN	60940048	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095066	TAH_LOG
89	PAY_NO_ALLOC	WARN	60940049	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095071	TAH_LOG
90	PAY_NO_ALLOC	WARN	60940050	\N	12147565	197168	6	\N	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi (MAHSUP) DepAcc=27095072	TAH_LOG
