LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER	ALLOC_RN	PAY_FULL_AMT	ALLOC_SRC
46635005	46635005	101	1	31225959	174	113	103	0	2015-12-01 00:00:00	5	0	0	0	6879	46635005	24248404	5727	31225959	32	PAY	\N	\N	530	2015000708707852	1	5	INCOME
46635006	46635006	101	1	31515119	174	113	103	0	2015-12-01 00:00:00	90	0	0	0	6879	46635006	24537293	5727	31515119	32	PAY	\N	\N	530	2015000708708870	1	90	INCOME
46649849	46649849	101	1	31635320	174	113	103	0	2015-12-15 00:00:00	1845	0	0	0	48214	46649849	24657415	2221	31635320	32	PAY	\N	\N	544	766632079	1	1845	INCOME
46682254	46682254	101	1	31319919	174	113	103	0	2015-11-19 00:00:00	15	0	0	0	251522	46682254	24342297	197168	31319919	32	PAY	\N	\N	521	13486338616	1	15	INCOME
46739567	46739567	101	1	31518726	174	113	103	0	2015-12-17 00:00:00	150	0	0	0	251522	46739567	24540900	197168	31518726	32	PAY	\N	\N	521	13697442747	1	150	INCOME
46746518	46746518	101	1	31933947	174	113	103	0	2016-01-03 00:00:00	230	0	0	0	6879	46746518	24955845	5727	31933947	32	PAY	\N	\N	530	2016000004708701	1	230	INCOME
46931988	46931988	101	1	32534317	174	113	103	0	2016-02-25 00:00:00	280	0	0	0	6879	46931988	25555845	5727	32534317	32	PAY	\N	\N	544	797113260	1	280	INCOME
46935987	46935987	101	1	32178434	174	113	103	0	2016-02-15 00:00:00	9050	0	0	0	48214	46935987	25200183	2221	32178434	32	PAY	\N	\N	544	791895126	1	9050	INCOME
46978767	46978767	101	1	31810648	174	113	103	0	2016-02-18 00:00:00	40	0	0	0	251522	46978767	24832625	197168	31810648	32	PAY	\N	\N	540	21141644	1	40	INCOME
46994896	46994896	101	1	32276365	174	113	103	0	2016-02-18 00:00:00	520	0	0	0	251522	46994896	25298027	197168	32276365	32	PAY	\N	\N	540	21490147	1	520	INCOME
